tanggal;kode;open_price;high_price;low_price;close_price;volume
2022-08-31;adro;1241.1287562483446;1262.3446324235301;1230.520818160752;1251.7366943359375;101731600
2022-09-01;adro;1258.8085488809122;1322.456172138936;1251.7365907411317;1308.312255859375;162099600
2022-09-02;adro;1325.9920392717636;1354.2798694428946;1315.3841029575894;1336.5999755859375;133943800
2022-09-05;adro;1336.600038287066;1432.0714695932847;1329.5280804125312;1424.99951171875;194748100
2022-09-06;adro;1442.679315245978;1470.9671449566833;1421.4634429629486;1428.535400390625;107870400
2022-09-07;adro;1421.4637451171875;1432.0716835135845;1396.711888858928;1421.4637451171875;92963400
2022-09-08;adro;1403.7837186706852;1414.3916560913706;1379.0318646890862;1393.17578125;88447400
2022-09-09;adro;1386.1037331882912;1403.7836277442643;1364.8878597211235;1396.711669921875;73341100
2022-09-12;adro;1400.2475905718672;1410.8555268640782;1379.0317179874448;1403.7835693359375;74852000
2022-09-13;adro;1403.7836959724714;1421.4635913877416;1396.711737806363;1417.9276123046875;71375900
2022-09-14;adro;1414.3916332216336;1428.53554955385;1393.175758723309;1417.9276123046875;79037100
2022-09-15;adro;1428.5353426627926;1481.575021227005;1428.5353426627926;1435.6072998046875;120755300
2022-09-16;adro;1432.0715192256082;1432.0715192256082;1389.6397705078125;1389.6397705078125;121776100
2022-09-19;adro;1396.7116646144702;1400.2476435122285;1364.8878545346467;1382.5677490234375;134433200
2022-09-20;adro;1389.6398891262652;1403.7838065728429;1364.888033594754;1375.4959716796875;63910800
2022-09-21;adro;1371.9598123301632;1389.639706818954;1343.671981148098;1382.5677490234375;67111800
2022-09-22;adro;1382.5677439619856;1456.823300543064;1375.495786192359;1449.7513427734375;150225400
2022-09-23;adro;1432.071533203125;1442.6794704861113;1417.9276168258102;1432.071533203125;77100300
2022-09-26;adro;1393.1756477948916;1393.1756477948916;1354.2798809782828;1364.8878173828125;163896500
2022-09-27;adro;1379.0317701256795;1393.175685716712;1368.423833432405;1382.5677490234375;89367200
2022-09-28;adro;1379.0316417605377;1400.2475131722383;1364.8877274860706;1368.4237060546875;72114400
2022-09-29;adro;1379.031775365902;1403.7836277442643;1379.031775365902;1396.711669921875;91134100
2022-09-30;adro;1386.1037646977588;1400.2476806640625;1368.4238697398794;1400.2476806640625;104670300
2022-10-03;adro;1389.6397436893349;1414.3915966303662;1386.1037646977588;1400.2476806640625;54514500
2022-10-04;adro;1410.8556367448232;1456.8233642578125;1410.8556367448232;1456.8233642578125;145080300
2022-10-05;adro;1463.8951936609606;1474.5031298469094;1442.6793212890625;1442.6793212890625;57945800
2022-10-06;adro;1442.679385003811;1502.7910260456365;1428.535469464558;1449.7513427734375;159208200
2022-10-07;adro;1449.7513480808425;1474.5032003651495;1442.6793902853262;1463.895263671875;49875500
